"Story","Title","Result","Date","Stability","Duration (s)"
"Add Stock Credit And Data","As a user, I have successfully added stock data","SUCCESS","2023-06-25T14:05:16.424+07:00[Asia/Bangkok]","0.0","174.05"
"Customer Data Search","As a user, I have successfully searched the customer data","SUCCESS","2023-06-25T14:08:30.474+07:00[Asia/Bangkok]","0.0","31.52"
"Customer Transaction View","As a user, I have successfully view the customer transaction","SUCCESS","2023-06-25T14:09:08.19+07:00[Asia/Bangkok]","0.0","20.4"
"User be able to sign in","As user, I have be able to success login","SUCCESS","2023-06-25T14:09:31.927+07:00[Asia/Bangkok]","0.0","18.03"
"User be able to sign in","As user, I have be able to failed login because account not registered","SUCCESS","2023-06-25T14:09:51.863+07:00[Asia/Bangkok]","0.0","26.85"
"User be able to sign in","As user, I have be able to failed login because wrong email","SUCCESS","2023-06-25T14:10:20.279+07:00[Asia/Bangkok]","0.0","14.35"
"User be able to sign in","As user, I have be able to failed login because wrong password","SUCCESS","2023-06-25T14:10:36.249+07:00[Asia/Bangkok]","0.0","15.21"
"User be able to sign in","As user, I have be able to failed sign in because email and password field empty","SUCCESS","2023-06-25T14:10:52.873+07:00[Asia/Bangkok]","0.0","12.57"
"Stock Cashout View","As a user, I have successfully view the Stock Cashout","SUCCESS","2023-06-25T14:11:07.842+07:00[Asia/Bangkok]","0.0","24.63"
