"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register with valid data","SUCCESS","2023-05-29T14:58:18.8420175+07:00[Asia/Jakarta]","0.0","1.53"
"Register","POST - Register with existed account","FAILURE","2023-05-29T14:58:23.8912064+07:00[Asia/Jakarta]","0.0","1.37"
"Login","POST - Login with valid credential","FAILURE","2023-05-29T14:58:26.5670421+07:00[Asia/Jakarta]","0.0","1.03"
"Login","POST - Login without payload","SUCCESS","2023-05-29T14:58:29.7654418+07:00[Asia/Jakarta]","0.0","1.32"
"User Information","GET - Get user information","FAILURE","2023-05-29T14:58:31.5876728+07:00[Asia/Jakarta]","0.0","2.18"
"Categories","POST - Add new category","SUCCESS","2023-05-29T14:58:34.8935893+07:00[Asia/Jakarta]","0.0","1.22"
"Categories","POST - Add new category without description data payload","SUCCESS","2023-05-29T14:58:36.1767533+07:00[Asia/Jakarta]","0.0","1.16"
"Product","POST - Add new product product","SUCCESS","2023-05-29T14:58:41.6130084+07:00[Asia/Jakarta]","0.0","1.09"
